GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SLF4J Test,org.slf4j.impl,StaticMDCBinder,0,19,0,0,0,6,0,4,0,4
SLF4J Test,org.slf4j.impl,StaticLoggerBinder,0,17,0,0,0,6,0,5,0,5
SLF4J Test,org.slf4j.impl,StaticMarkerBinder,0,19,0,0,0,5,0,4,0,4
SLF4J Test,uk.org.lidalia.slf4jtest,TestMDCAdapter,0,54,0,0,0,12,0,7,0,7
SLF4J Test,uk.org.lidalia.slf4jtest,TestLogger,0,740,0,4,0,156,0,81,0,79
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent,0,574,0,2,0,88,0,65,0,64
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactory.TestLoggerFactoryMaker,7,20,0,0,2,4,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactory,0,171,0,4,0,45,0,24,0,22
SLF4J Test,uk.org.lidalia.slf4jtest,OverridableProperties,0,59,0,0,0,9,0,4,0,4
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Function() {...},0,15,0,0,0,3,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestLogger.new Supplier() {...},0,12,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestLogger.new Supplier() {...},0,10,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,OverridableProperties.new Function() {...},13,47,4,4,1,7,4,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Object() {...},2,17,0,0,0,1,0,1,0,1
SLF4J Test,uk.org.lidalia.slf4jtest,TestLogger.new Supplier() {...},0,5,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,LoggingEvent.new Function() {...},0,16,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestMDCAdapter.new InheritableThreadLocal() {...},0,10,0,0,0,2,0,2,0,2
SLF4J Test,uk.org.lidalia.slf4jtest,TestLoggerFactory.new Supplier() {...},0,10,0,0,0,2,0,2,0,2
